Date,AGG,BND,BSV,BNDX,MINT,BIV,NEAR,SCHZ,FTSM,SPAB,BLV,TOTL,IUSB,GVI,ISTB,BOND,IAGG,FBND,VBND,AGGY,RAVI,ILTB,LDUR,FTSD,ULST,FLTB,XMPT,FIBR,MINC,AGZD,NFLT,HOLD,FCOR,BYLD,KCNY,WYDE,SAGG,AGND
2017-08-30,105.655151,78.907455,77.706985,52.262695,98.26164200000001,81.670982,48.618752,50.466068,58.185722,27.745714000000003,88.872787,47.053596,49.069798,107.817352,48.492363,101.643837,49.945389,48.396473,47.936756,48.532524,73.105186,60.372925,96.404854,92.69696,39.113377,48.878429,25.575844,100.7600,46.814129,46.087478999999995,23.595564000000003,96.607262,48.51976,23.692928,32.757515000000005,33.279999,30.441509000000003,41.303478000000005
2017-08-31,105.798828,78.97448,77.736076,52.291275,98.26164200000001,81.785614,48.638084,50.513962,58.195423,27.769596000000003,89.126503,47.044106,49.146294,107.86568500000001,48.511596999999995,101.776482,50.070183,48.463581,48.051395,48.618297999999996,73.172928,60.62580500000001,96.376251,92.760452,39.113377,48.862021999999996,25.585159,100.8800,46.814129,46.087478999999995,23.687265,96.607262,48.643551,23.746515,32.871063,33.119999,30.490640999999997,41.303478000000005
2017-09-01,105.558853,78.84401700000001,77.700172,52.261715,98.296471,81.571152,48.599354,50.375735999999996,58.185722,27.740402000000003,88.501602,47.065041,49.059074,107.695282,48.503887,101.662483,49.920998,48.444404999999996,47.939625,48.513458,73.140945,60.241997,96.30558,92.65464,39.120171,48.853336,25.601055,100.6000,46.842892,45.991306,23.632242,96.607262,48.538807,23.727709,32.92783,33.119999,30.490640999999997,41.303478000000005
2017-09-05,105.990784,79.170105,77.787552,52.395275,98.34479499999999,81.973267,48.618732,50.577315999999996,58.234215,27.850483,89.4347,47.226883,49.231575,108.05351999999999,48.57135,102.061493,50.036491,48.492325,48.185139,48.73267,73.179726,60.815822999999995,96.391518,92.75083199999999,39.120171,48.871674,25.610401,100.8700,46.814129,45.991306,23.668922,96.607262,48.710190000000004,23.784119,32.965672,33.16,30.490640999999997,41.245785
2017-09-06,105.87561799999999,79.03585799999999,77.787552,52.366646,98.30613699999999,81.79136700000001,48.628422,50.548515,58.224518,27.778692,88.982277,47.131687,49.202839000000004,107.92765,48.552078,101.947487,50.003777,48.54985,48.118259,48.599239000000004,73.160324,60.60886800000001,96.267387,92.75083199999999,39.120171,48.852375,25.638451,100.7700,46.842892,46.106712,23.751461,96.607262,48.649258,23.754898,33.065028999999996,33.16,30.490640999999997,41.255394
2017-09-07,106.134773,79.285202,77.874924,52.423893,98.34479499999999,82.145584,48.657455,50.673309,58.205119999999994,27.874413,89.69858599999999,47.226883,49.308246999999994,108.15033700000001,48.600254,102.08049799999999,50.209728000000005,48.645691,48.185139,48.78986,73.199089,61.02278100000001,96.448853,92.856636,39.071628999999994,48.982677,25.750656,100.9000,46.814129,45.991306,23.659751999999997,96.607262,48.730185999999996,23.792597,33.192768,33.240002000000004,30.490640999999997,41.255394
2017-09-08,106.010002,79.198875,77.85550699999999,52.423893,98.335136,82.04029799999999,48.618732,50.663708,58.185722,27.82655,89.462952,47.217361,49.250744,108.10194399999999,48.552078,102.175507,50.180862,48.616932,48.228123,48.704075,73.199089,60.787605000000006,96.267387,92.847031,39.091042,48.901588000000004,25.76001,100.8700,46.900444,46.077858,23.659751999999997,96.607262,48.691143,23.773745,33.306313,33.240002000000004,30.372725,41.111145
2017-09-11,105.722031,78.959129,77.768105,52.347569,98.30613699999999,81.686035,48.628422,50.500519,58.205119999999994,27.759542,88.737236,47.131687,49.145329,107.888916,48.542435,101.928505,50.123119,48.492325,48.063815999999996,48.566833,73.20874,60.486580000000004,96.210091,92.664268,39.052208,48.876503,25.675856,100.7300,46.842892,45.981682,23.659751999999997,96.607262,48.567364000000005,23.764324,33.49556,33.120998,30.421856,41.236168
2017-09-12,105.568459,78.84401700000001,77.729286,52.233093,98.30613699999999,81.599884,48.628422,50.423728999999994,58.205119999999994,27.730827,88.42619300000001,47.074562,49.087833,107.743698,48.474983,101.652969,49.922934999999995,48.434810999999996,47.984524,48.47533,73.160324,60.279635999999996,96.18145,92.75083199999999,39.100753999999995,48.871674,25.722607,100.6600,46.833309,45.981682,23.659751999999997,96.607262,48.472159999999995,23.71719,33.306313,32.950001,30.461163,41.236168
2017-09-13,105.462868,78.74812299999999,77.671028,52.204475,98.335136,81.456261,48.638084,50.375735999999996,58.195423,27.692541,88.33195500000001,47.007927,49.020748,107.66622199999999,48.455704,101.567482,49.930626000000004,48.406048,47.924335,48.464851,73.179726,60.185562,96.27693199999999,92.75083199999999,39.071628999999994,48.834026,25.769358,100.6100,46.842892,46.077858,23.650585,96.607262,48.33886,23.724735,33.229668,32.82,30.490640999999997,41.332333
